,timestamp,user_id,movie_id,rating
0,2025-01-02T02:32:57,102833,the+thin+red+line+1998,5
1,2025-01-02T22:28:58,58490,life+of+brian+1979,4
2,2025-01-02T22:30:05,24529,jurassic+park+1993,5
3,2025-01-03T02:17:50,54544,the+spy+who+loved+me+1977,4
4,2025-01-04T08:10:32,54544,goodfellas+1990,4
5,2025-01-04T22:05:33,14867,dungeons++dragons+2000,2
6,2025-01-05T08:23:41,14506,battle+in+seattle+2007,2
7,2025-01-05T13:56:18,102833,born+on+the+fourth+of+july+1989,3
8,2025-01-05T16:57:32,96925,the+fisher+king+1991,4
9,2025-01-06T16:03:48,18499,the+legend+of+drunken+master+1994,4
10,2025-01-06T16:34:56,102833,wag+the+dog+1997,4
11,2025-01-06T19:12:07,91656,clear+and+present+danger+1994,5
12,2025-01-06T22:00:57,54785,the+lion+king+1994,5
13,2025-01-07T01:12:49,6387,spider-man+2002,3
14,2025-01-07T19:17:57,54785,jurassic+park+1993,5
15,2025-01-07T22:46:51,27355,the+ice+storm+1997,1
16,2025-01-08T14:56:37,6566,the+client+1994,3
17,2025-01-08T20:17:41,20813,stargate+1994,3
18,2025-01-08T22:20:45,8915,gladiator+2000,4
19,2025-01-08T23:46:58,6387,under+siege+1992,1
20,2025-01-09T01:16:46,96024,dave+1993,2
21,2025-01-09T01:35:14,50931,the+manchurian+candidate+1962,5
22,2025-01-09T01:59:27,70124,grumpier+old+men+1995,2
23,2025-01-09T03:16:43,14506,the+hurt+locker+2008,3
24,2025-01-09T19:14:07,3912,repo+man+1984,3
25,2025-01-09T19:40:09,18499,shadow+of+the+vampire+2000,1
26,2025-01-10T12:32:57,77704,the+apartment+1960,5
27,2025-01-10T20:48:23,70124,to+wong+foo_+thanks+for+everything+julie+newmar+1995,2
28,2025-01-11T01:04:47,71057,serendipity+2001,4
29,2025-01-11T03:00:49,54544,baseketball+1998,4
30,2025-01-11T05:51,70124,the+brady+bunch+movie+1995,1
31,2025-01-11T07:27:51,77704,the+city+of+lost+children+1995,4
32,2025-01-11T17:12:43,19755,the+machinist+2004,3
33,2025-01-11T21:07:07,6566,blade+runner+1982,5
34,2025-01-12T07:52:58,2072,donnie+brasco+1997,3
35,2025-01-12T14:08:24,32206,dopamine+2003,3
36,2025-01-12T17:47:57,6566,galaxy+quest+1999,5
37,2025-01-12T18:03:57,54544,kill+bill+vol.+1+2003,3
38,2025-01-13T02:25:29,84059,unbreakable+2000,4
